Age,ClassName,DepartmentName,Adjectives,Nouns,Seasons
69,blouse,Tops,"stunning, white, nicely-a, little, big, i, great, unique, ","top, i, side, way, everything, ",
66,blouse,Tops,"lovely, teal, blue, sky, luxurious, well-made, sassy, ","silk/velvet, shirt, quot, quot, color, side, blue, darker, photo, beauty, appeal, snake, body, attitude, ",
23,blouse,Tops,"i, numerous, true, small, tight, ","shirt, burnt, orange, color, fun, skirt, size, i, retailer, bit, i, top, ",
50,blouse,Tops,"first, small, i, small, top, true, generous, top, nice, comfy, casual, small, hh, true, broad, ","review, medium, reviewer, i, size, sky, color, necklace, i, brand, lb, ",
61,dress,Dresses,"comfortable, stylish, same, true, few, few, ","dress, time, size, lbs, petite, ",
54,blouse,Tops,"perfect, inside, unexpected, true, current, ","color, fall, winter, collar, photo, subtle, plaid, lining, lining, bonus, dimension, shirt, fit, size, velvet, fabric, season, shirt, ", winterfall
33,knit sweater,Tops,"perfect, cute, little, wonderful, different, ","t-shirt, front, accent, i, ",
24,blouse,Tops,"previous, glad, beautiful, ","size, i, i, i, /115/32dd, s, regular, i, ",
28,knit sweater,Tops,"super, casual, stylish, average, white, long, ","top, comfy, slit/design, front, look, sleeve, tee, ",
36,jacket,Jackets,"many, open, closed, soft, light, heavy/hot, ","vest, style, dress, tshirt, time, i, interest, outfit, day, ",
65,blouse,Tops,"perfect, perfect-weight, many, many, easy, hot, humid, easy, many, casual, ","blouse, creation, cotton, color, fullness, body, summer, look, mistaking, quality, piece, i, medium, size, blouse/tee, frame, blouse, ",summer
31,skirt,Bottoms,"classic, comfortable, year-round, favorite, different, higher-end, body-hugging, ","silhouette, length, skirt, length, weight, skirt, bit, weight, closet, pair, tee, tank, denim, jacket, sweater, ",
36,blouse,Tops,"reversible, appropriate, great, ","work, i, tank, medium, work, scratchy, i, buy, i, ",
51,skirt,Bottoms,"big, unique, i, good, w/a, nice, casual, ","lace, top, w/a, tee, year, ",
39,skirt,Bottoms,"big, bad, narrow, able, great, sure, ","skirt, side, size, length, knee, part, i, store, front, winner, ",
47,skirt,Bottoms,"nice, cheerful, practical, lightweight, ","skirt, retailer, store, texas, i, love, i, fabric, spring/summer, ",summer spring
64,skirt,Bottoms,"pretty, real, true, big, perfect, ","skirt, life, sizing, size, waist, thicker, waist, size, size, retailer, pencil, waist, length, ",
38,skirt,Bottoms,"wonderful, high, average, impeccable, worn, artsy, whimsical, out-there, true, ","skirt, price, point, bit, office, gal, quality, i, mirror, skirt, design/pattern, course, fit, size, delicate, ",
36,skirt,Bottoms,"other, beautiful, intricate, rich, ","skirt, justice, lace, pattern, ",
48,blouse,Tops,"much, other, scratchy, sensitive, ","top, person, fabric, skin, top, ",
52,skirt,Bottoms,"online, unique, pretty, ","picture, skirt, justice, design, i, tighter, shirt, picture, pencil, skirt, ",
56,skirt,Bottoms,"fit, perfect, tiny, bright, multiple, nice, cute, ","petite, size, i, bit, room, pictured, length, inch, model, stretch, ",
55,thin sweater,Tops,"perfect, mild, light, fitted, bottom, ","fall, weather, texas, weight, top, ",fall
47,dress,Dresses,"sure, beautiful, simple, elegant, extra, enough, top, front, low, a-line, body, overall, ","maeve, exception, i, dress, i, print, size, i, print, style, ruffle, back, touch, interest, i, coverage, skirt, fabric, q, ",
34,skirt,Bottoms,"beautiful, pear, straight, small, i, massive, ","skirt, color, skirt, i, ",
43,thin sweater,Tops,"im, 5-3, other, cute, comfortable, true, size-im, small, roomy, ","fit, sweater, sweatshirt, model, ref, im, ",
41,thin sweater,Tops,"tunic, curvy, few, extra, perfect, good, negative, gorgeous, peachy-, true, i, large, fitted, top, ","i, gal, middle, top, i, pink, color, pink, color, picture, i, size, medium, structure, medium, fit, waist, i, ivory, ",
39,thin sweater,Tops,"green, super, petite, long, little, ","color, cut, flattering, i, ti, bit, i, lost, color, petite, ",
50,thin sweater,Tops,"much, second, different, bare, i, hot, right, cooler, metallic, little, i, large, ","sweater, i, color, sweater, conform, shape, i, week, work, cooler, weather, climate, weight, bit, flair, grey, color, everything, size, fit, ",
62,thin sweater,Tops,"swing, i, current, dumpy, feminine, small, fabric, soft, ","top, sack, style, everything, i, top, lbs, waist, swing, style, waist, pink, i, ",
26,knit sweater,Tops,"neutral, white, many, white, cute, fabulous, i, sure, favorite, other, ","shirt, statement, thing, shirt, fact, material, reviewer, i, ",
38,skirt,Bottoms,"other, midi, i, suppose, little, true, i, beautiful, good, ","i, problem, sizing, fit, length, skirt, skirt, bit, size, reference, i, size, fit, color, quality, ",
53,thin sweater,Tops,"great, ","feel, comfy, choice, ",
63,thin sweater,Tops,"ultra, skinny, i, pregnant, wrong, feminine, light, cami, ","sweater, anything, weight, enough, underneath, scarf, ",
54,thin sweater,Tops,"several, flattering, lightweight, easy, soft, comfortable, ","dressy, ",
47,dress,Dresses,"i, small, fit, fine, snug, top, i, ","lbs, d., i, medium, i, i, time, re-order, half, length, fabric, ",
39,dress,Dresses,"detailed, modesty, deep, elastic, tight, small, busty/broad, dreadful, synthetic, boo, stats, 36c/38-27-35/135, ","exception, colors/cut/drape, exception, hook, v-neck, cuff, dress, bodice, waist, band, tts, size, side, zip, fabric, i, size, ",
64,blouse,Tops,"Adorable, cute, navy, ok, much, big, odd, 'smoky'-like, few, ","parka, jean, jacket, w/, size, pic, love, plaid, cotton, blend, adorable, i, look, i, top, packaging, odor, dye, i, smell, mind, pilcr, ",
30,dress,Dresses,"bohemian, right, adorable, fragile, ","dress, goddess, area, dress, care, ",
52,skirt,Bottoms,"flat, black, easy, many, great, ","skirt, i, tee, jacket, piece, quality, ",
35,jeans,Bottoms,"paige, soft, comfortable, i, flattering, difficult, perfect, wonderful, i, regular, 3-4, i, ","brand, pants-they, way, knee, flare-it, fit, something, this-and, paige, job, body, store, length, sale, petite, ",
55,blouse,Tops,"pretty, nice, big, subtle, ","top, quality, i, size, perfect, coloring, person, photo, ",
39,blouse,Tops,"petite, usual, narrower, ok, athletic, light, great, wrong, i, great, ","size, xs, adn, i, shirt, cut, body, built, color, darker, complexion, hair, pale, self, darker, ruffle, addition, ",
46,pants,Bottoms,"much, great, great, hot, subtle, vertical, flattering, low, muffin, ","whim, i, shirt, store, i, weight, alternative, pilcro, hyphen, chino, summer, everything, leg, cut, waist, top, ",summer
29,jeans,Bottoms,"high, classic, i, distressed, particular, other, much, muscular, happy, ","i, addition, rise, paige, denim, fit, mother, element, edginess, hem, ankle, look, day, mother, i, size, someone, size, ",
83,blouse,Tops,"usual, generous, little, beautiful, i, anxious, ","top, size, size, sizing, style, quality, size, ",
29,pants,Bottoms,"subtle, comfortable, ","blush, effect, pair, crop, ",
63,knit sweater,Tops,"little, little, tts, little, thick, nice, ","detail, beading, lace, body, sweatshirt, style, piece, fit, store, i, size, body, change, material, lighter, layer, ",
26,pants,Bottoms,"previous, own, loose, adorable, i, ","size, i, size, bit, waist, ",
38,knit sweater,Tops,"comfortable, casual, online, super, ","i, cute, gold, scroll, work, i, person, ",
48,jeans,Bottoms,"bottom, i, odd, high, crisp, white, black, i, ","number, season, i, button, process, i, blouse, leather, jacket, ",
32,blouse,Tops,"natural, tunic, little, large, top, ","color, fit, i, i, ",
29,pants,Bottoms,"light, super, small, i, usual, necessary, thin, light, versatile, ","weight, cute, bit, size, size, pin, stripe, design, color, ",
44,blouse,Tops,"top, regular, small, i, much, low, white, unique, i, skinny, ankle, stylish, super, soft, ","waist, hem, model, i, v-neck, cut, color, i, pattern, brighter, spring/summer, look, way, fabric, ",summer spring
37,blouse,Tops,"sure, large, ","picture, i, got, mail, i, ",
31,warm jacket,Jackets,"hesitant, little, disappointed, soft, other, perfect, boxy, heavy, first, ","coat, price, i, i, quality, coat, material, i, silhouette, coat, fall, winter, i, ", winterfall
50,blouse,Tops,"top, cute, great, many, blue, ","lighter, color, fit, size, medium, stock, color, i, ",
56,jacket,Jackets,"perfect, ","jacket, shirt, tee, dress, jacket, anything, ",
25,dress,Dresses,"beautiful, i, ","dress, peach, color, person, dress, rehearsal, dinner, end, summer, price, ",summer
54,dress,Dresses,"incredible, local, i, navy, gorgeous, bright, vibrant, inch, big, ","dress, i, girl, retailer, color, person, waist, s, waist, i, xs, bit, i, mexico, dress, ",
45,jacket,Jackets,"other, small, short, versatile, ","i, medium, jacket, room, ",
39,jacket,Jackets,"alst, great, little, i, i, super, i, ","year, version, dn, smae, leather, jacket, shorter, peplum, back, hem, skirt, hte, darker, color, dark, rinse, i, eptite, jacket, order, ",
36,dress,Dresses,"gorgeous, nice, wear, loooooong, ","xs, soooooo, glad, i, dress, color, quality, time, summer, ",summer
41,knit sweater,Tops,"soft, little, shorter, i, athletic, little, i, small, i, great, comfy, ","sweatshirt, fun, side, i, lace, cami, underneath, hourglass, shape, i, medium, i, looser, sweatshirt, retailer, case, weekend, piece, ",
37,knit sweater,Tops,"stylish, comfortable, ","day, ",
55,knit sweater,Tops,"top, large, great, pretty, ","color, ruffle, necklace, ",
83,knit sweater,Tops,"top, full/, true, tight, i, usual, sleeve, true, ","swing, top, length, fullness, contrasting, cami, fun, fullness, pic, size, size, size, size, ",
35,jacket,Jackets,"small, retailer/, small, fine, underneath, small, snug, perfect, california, i, north, great, enough, light, great, ","bust, cloth, stone/, fit, room, east, medium, shape, waist, room, sweater, flannel, medium, maxi, dress, ",
41,knit sweater,Tops,"comfy, well-cut, 10-12, sloppy, ","sweatshirt, l, ",
36,dress,Dresses,"last, similar, glad, beautiful, curious, white, next, ","year, dress, i, i, person, wedding, i, peach, color, i, dress, matter, hope, season, ",
55,jacket,Jackets,"white, much, i, overall, favorite, great, comfy, other, denim, ","denim, jacket, reason, i, distressing, none, back, kind, strange, work, fit, bit, stretch, ",
36,jacket,Jackets,"brilliant-the, subtle-the, sturdy, right, perfect, ","cut, wash, weight, denim, stretch, staple, scarf, fall, spring, ", springfall
65,jeans,Bottoms,"nice, good, short, nice, ","i, i, fabric, design, shirt, fabric, bit, stretch, ",
43,jacket,Jackets,"favorite, few, great, quality, heavy, heavy, stretchy, stretchy, great, other, happy, normal, small, perfect, possible, i, several, big, ","denim, jacket, trip, i, color/design, i, size, i, medium, jacket, i, endo, ",
40,jeans,Bottoms,"i, high, perfect, great, high, nice, ","spring, /, summer, waist, tucked-in, denim, quality, medium, dark, color, ",summer spring
47,jacket,Jackets,"glad, other, large, usual, roomy, sweater, soft, other, denim, stiff, ","i, medium, underneath, denim, stretch, i, darker, denim, ",
34,jacket,Jackets,"small, super, soft, ","lbs, denim, color, worn, feel, ",
38,jacket,Jackets,"perfect, i, modern, little, small, i, little, i, i, i, tight, able, i, great, ","denim, jacket, darker, color, day, s, xs, retailer, xs, order, online, size, xs, i, s, i, ",
41,dress,Dresses,"first, many, several, beautiful, absolute, ","dress, time, yesterday, i, dress, nyc, dress, must-have, ",
47,jacket,Jackets,"little, jean, petite, glad, little, true, petite, perfect, adorable, great, ","jacket, i, xxsp, size, i, snug, color, photo, material, medium, denim, arm, length, size, maxi, jacket, buy, ",
63,dress,Dresses,"due, i, thin, i, super, i, small-chested, s, s, i, ","dress, eye, online, price, i, store, i, sale, online, i, plunge, dress, flattering, comfy, s, m, fit, seam, fit, bit, flattering, ",
35,blouse,Tops,"other, nice, tough, i, right, much, top, great, ","blouse, i, blouse, retailer, order, online, online, tendency, ",
56,dress,Dresses,"navy, good, good, white, perfect, ","color, dress, wedding, i, crochet, sweater, dress, mother, groom, ",
41,blouse,Tops,"top, much, nice, tight, light, see-through, i, several, different, pretty, deep, much, ","model, length, fabric, weight, lot, v-neck, cleavage, ",
21,blouse,Tops,"i, true, regular, petite, i, short, see, nude, perfect, comfortable, standout, ","top, %, cotton, vintage, look, top, winner, size, size, bra, cami, lightweight, piece, summer, time, ",summer
59,blouse,Tops,"easy, similar, flattering, great, blue, happy, recommend, short, usual, ","blouse, lot, i, pencil, skirt, skort, model, weekend, color, purchase, torso, ",
53,blouse,Tops,"beautiful, printed, small, 34d-27-35, perfect, popular, due, hot, ","blouse, pink, color, size, retailer, fit, length, size, whe, i, store, i, order, texture, front, length, ri, ",
27,sweater,Tops,"soft, warm, outside, i, favorite, extra-small, great, ","whim, i, quality, fabric, buy, sale, ",
62,thin sweater,Tops,"awesome, soft, positive, previous, worth, full, ","vest, cozy, fall, winter, sake, flaw, price, mind, ", winterfall
50,blouse,Tops,"i, long, unique, thin, light, ","blouse, tie, pattern, weight, fabric, leather, jacket, ",
54,blouse,Tops,"beautiful, small, busted, i, usual, full, full, small, much, ample, regular, full, little, ","blouse, sheer, feminine, slender, size, top, chest, chest, order, size, fit, i, style, someone, taller, medium, someone, ",
41,pants,Bottoms,"misleading, beautiful, vibrant, close-up, regular, few, neat, nice, great, i, large, pack, ","photo, print, photo, person, ankle, i, slit, side, front, pleat, flow, waste, drape, sewn, purchase, ",
43,blouse,Tops,"top, i, interesting, i, 2-4-6, top, overall, lightweight, due, ","anything, online, store, /, xs-s-m, style, size, regular, fit, reason, closer, elbow, length, hip, model, fabric, sheer, color, p, ",
51,blouse,Tops,"blue, gorgeous, interesting, short, happy, ","motif, indigo, pattern, tunic, purchase, i, plan, mom, cool, stylish, ",
46,knit sweater,Tops,"thick, thick, flattering-, short, special, ","tee, material, i, sleeve, bingo, shimmer, front, something, ",
29,thin sweater,Tops,"black, i, silky, beautiful, many, enormous, bottom, white, ","top, bottom, material, cutout, retailer, tts, complaint, part, ",
66,thin sweater,Tops,"flattering, much, online, chic, stylish, ","daughter, vest, retailer, store, vest, cuter, person, picture, staple, fall, winter, ", winterfall
74,dress,Dresses,"much, i, detailed, loose, first, usual, petite, available, ","dress, mail, today, person, description, information, i, review, i, star, quality, i, dress, time, i, hand, sew, size, pxs, p0, size, ",
63,blouse,Tops,"gold, sticky, sticky, sticky, sticky, ","i, blouse, ai, blouse, fabric, i, weather, humid, closet, door, design, fabric, ",
41,blouse,Tops,"sure, top, glad, pretty, great, loose, flowy, little, short, fit, true, small, ","i, print, denim, top, style, blouse, size, size, ",
40,blouse,Tops,"beautiful, gold, overwhelming, top, ","person, blouse, business, attire, denim, tts, ",
49,thin sweater,Tops,"nice, soft, good, basic, many, i, sure, top, enough, top, nice, ","store, i, design, price, i, lot, use, priority, purchase, sweater, sale, top, i, sale, ",
70,thin sweater,Tops,"petite, regular, good, flattering, busy, same, soft, soft, plush, ","size, s, size, store, move, length, width, pattern, color, group, edge, fabric, fleece-like, ",
30,thin sweater,Tops,"soft, small, black, cropped, bottom, quality, ","sweater, layer, piece, dinner, work, office, piece, lot, sale, steal, ",
47,blouse,Tops,"small, flowy, short, comfortable, feminine, beautiful, favorite, new, red, gorgeous, ","i, size, fit, print, ",
52,blouse,Tops,"large, ethereal, lovely, same, composed, ","extra-large, medium, blouse, pretty, funky, time, sheer, perfect, cool, day, summer, ",summer
37,thin sweater,Tops,"super, soft, black-, short, petite, ","in-store, i, lbs, xs, size, i, lot, ",
51,thin sweater,Tops,"small, black, many, charlie, flat, great, casual, ","i, print, shell, underneath, office, ",
36,thin sweater,Tops,"visual, pretty, great, casual, curvy, ","sleeveless, sweater, warmth, interest, lot, bulk, black/white, versatile, staple, office, environment, taller, girl, i, length, figure, ",
46,thin sweater,Tops,"special, worth, ","length, i, person, piece, sale, ",
37,knit sweater,Tops,"navy, stripe, cute, nautical, boxy, i, unimpressive, i, cute, clingy, comfortable, little, ","version, shirt, vibe, xs, s, antho, xs, shirt, i, s, shirt, hanger, sale, body, fabric, shoulder, detail, mor, ",
46,blouse,Tops,"sure, bad, long, i, fantastic, flowy, i, much, romantic, girly, short, athletic, ","shirt, i, tall, torso, issue, taller, everything, print, regard, i, style, garment, opinion, medium, ",
39,thin sweater,Tops,"rave, true, plush, funky, i, different, great, i, thrilled, able, only, petite, ","vest, fun, season, piece, i, sale, regret, lack, selection, ",
64,thin sweater,Tops,"other, local, wool, itchy, wool, small, long, oversized, i, i, right, i, same, petite, other, petite, few, ","day, store, size, xs/s, i, build, i, look, print, i, armhole, left, xs/s, sizes, i, order, xs/s, wks, invent, ",
57,thin sweater,Tops,"great, super, sure, i, wool, cool, ","drape, length, pattern, versatile, i, wool, neck, i, lightweight, texture, print, design, ",
44,thin sweater,Tops,"skeptical, first, black, white, versatile, interesting, bright, similar, regular, fine, i, ","duster, person, sight, pattern, fashion, pattern, wardrobe, color, pattern, model, i, xs/s, waist, hem, ",
44,blouse,Tops,"figure, v-cut, super, short, thick, ","flattering, figure, pleating, bust, touch, peekaboo, cleavage, flattering, way, hem, bit, tummy, bust, office, jacket, material, ",
48,pants,Bottoms,"super, nice, wary, excellent, ","excellent, lounge, piece, flattering, sexy, feminine, trendy, ",
67,dress,Dresses,"elegant, white, classic, right, ","lace, dress, amount, quirkiness, everything, ",
29,sweater,Tops,"large, small, length-, mid, a-line, fun, recommend, ","sweater, medium, hip, show, picture, detail, sweater, it-, i, sweater, ",
62,sweater,Tops,"nice, such, great, unique, beautiful, appropriate, normal, small, little, tunic, i, ","sweater, quality, detail, pattern, knit, ribbon, detail, knit, mid, weight, winter, fall, cooler, spring, i, size, slub, fit, model, torso, shorter, length, picture, torso, hit, mid-bum, ", spring winterfall
33,sweater,Tops,"i, great, beautiful, soft, warm, perfect, new, 5'-7, little, ","online, something, i, store, eye, detailing, decision, person, winter, sweater, year, lbs, medium, fit, shorter, photos, ", winter
32,jeans,Bottoms,"Great, true, cute, ","fit, bagging, sagging, size, reference, i, lbs, model, recommend, ",
62,skirt,Bottoms,"perfect, ghillie, big, sleek, i, ","length, cut, hemline, cute, i, type, pair, warm, sweater, turtleneck, room, promise, skirt, ",
34,dress,Dresses,"fitted, small, perfect, derby, great, anyone..a, classic, gorgeous, ","dress, side, dress, lace, pearl, touch, age, appropriate, dress, simple, ",
58,thin sweater,Tops,"soft, light, summer-weight, worn, casual, nice, /, ","color, peach, knit, top, gauze, knit, i, statement, necklace, skirt, ",
40,dress,Dresses,"large, comfortable, good, high, low, accurate, easy, ","dress, cream, skirt, i, wedding, cotton, top, i, i, lot, outfit, shirt, blouse, dress, i, skirt, sizing, dress, ",
55,sweater,Tops,"comfortable, stylish, beautiful, disappointed, accurate, perfect, extra, casual, elegant, same, versatile, ","arrival, sweater, sizing, fit, i, feminine, detailing, shape, necklne, touch, style, sweater, time, ",
39,sweater,Tops,"Adorable, loose, man-back, soft, bottom, clingy, soft, i, happy, ","sweater, knit, appearance, cut, body, flare, hem, fabric, silhouette, ",
30,dress,Dresses,"low, casual, pretty, multiple, incredible, fun, classy, i, i, extra, ","retailer, dress, friend, spring, wedding, lot, season, number, upon, fabric, heck, store, sash, bit, bra, w, ", spring
53,dress,Dresses,"able, outstanding, stretchy, i, only, smile, i, ","dress, stock, quality, top, retailer, choice, i, tall, lbs, everything, dress, holiday, party, fence, ",
23,dress,Dresses,"beautiful, true, extra, fit, ","dress, online, store, dress, bodice, size, fabric, waist, bust, nothing, look, weird, love, love, christmas, eve, ",
35,knit sweater,Tops,"lace-up, black, closed, lace, little, much, open, cami, comfortable, whole, as-pictured, i, little, ","shirt, i, model, i, part, ways-and, i, i, i, underneath, outfit, polka, dot, ",
40,blouse,Tops,"awesome, true, normal, small, ","blouse, comfy, blouse, size, size, ",
68,dress,Dresses,"hesitant, i, glad, french, soft, structured, little, oversized, mod, ","i, dress, blue, material, dot, texture, bit, i, fit, styling, ",
37,jacket,Jackets,"green, sure, due, little, i, small, big, i, few, great, thin, black, x-small, i, green, i, ","jacket, while, %, size, lbs, snug, way, xs, i, i, love, looser, thicker, i, ",
33,jacket,Jackets,"snug, bulky, super, comfy, stretchy, pricey, i, wear, worth, ","jacket, dress, fitting, anything, stylish, material, bit, lot, ",
51,blouse,Tops,"great, great, tts, flattering, light, comfortable, ","blouse, work, cardigan, skirt, weight, ",
56,jacket,Jackets,"local, online, exclusive, i, i, soft, standup, fine, nice, open, small, xs, small, built-in, long, ","store, fact, person, i, hesitation, collar, vest, i, button, shirt, o, ",
58,jacket,Jackets,"faded, black, deep, i, large, i, top, open, ","jacket, attitude, color, charcoal, grey, petite, chest, knit, half, ",
63,jeans,Bottoms,"cute, perfect, i, fit, many, tight, good, much, small, white, definitely, true, tight, ","way, age, i, i, i, libs, way, photo, mother, ankle, fray, sale, site, size, fit, ",
40,jacket,Jackets,"los, perfect, i, enough, extra, small, soft, stylish, only, deep, ","beginning, fall, jacket, room, hoodie, seater, underneath, downside, anything, ",fall
60,knit sweater,Tops,"true, nice, good, great, ","tee, red,3/4, lacing, touch, quality, sale, price, ",
27,jacket,Jackets,"little, little, right, super, appeared, sweatshirt, much, ","i, jacket, i, arrival, i, love, edgy, leather, stretch, crop, online, bit, material, structure, shape, ",
51,knit sweater,Tops,"red, black, nice, ","shirt, material, shirt, cotton, blend, use, ",
48,knit sweater,Tops,"flattering, ","shirt, fit, color, ",
27,knit sweater,Tops,"much, i, olive, red, black, enough, black, simple, lace-up, true, fitted, due, unflattering, close, ","shirt, green, plain, tee, fun, detail, neckline, size, thickness, material, i, shirt, fit, ",
44,jacket,Jackets,"amazing, black, lovely, ","i, charcoal, color, ",
39,knit sweater,Tops,"lace-up, super, black, soft, thick, nice, ","trend, shirt, sexy, i, color, fabric, ",
52,blouse,Tops,"beautiful, colorful, nice, lightweight, fine, c, other, i, personal, accurate, ","blouse, i, vibe, top, cut, fabric, fit, curvy, cup, style, note, bit, coverage, preference, i, picture, depiction, ",
48,blouse,Tops,"lovely, unique, unique, flowing, romantic, sheer, nude, camisole, small, i, i, ","design, piece, i, underneath, size, size, store, love, look, retailer, associate, size, ",
35,knit sweater,Tops,"normal, t-shirt, special, comfortable, as-is, huge, crazy, ","today, fabric, kind, fabric, i, kind, v-neck, front, cleavage, i, work, cami, i, fan, v-neck, back, versatile, v, ",
61,dress,Dresses,"petite, large, ","fit, flare, style, i, grey, color, color, ",
45,blouse,Tops,"soo, cool, good, ","top, edge, quality, ",
25,dress,Dresses,"right, gorgeous, comfortable, form-fitting, right, much, ","dress, skirt, top, amount, coverage, i, i, ",
68,blouse,Tops,"top, night-worthy, front, peek-a-boo, embossed, ","day, splash, sexiness, design, design, ",
20,dress,Dresses,"i, it.., youthful, young, good, heavy, other, short, ","sweater, dress, time, i, navy, size, xs, pattern, dress, dress, skirt, material, fall, winter, spring, dress, ", spring winterfall
52,dress,Dresses,"easy, good, ","dress, choice, day, evening, ",
42,jacket,Jackets,"first, boxy, first, cute, comfy, recurrent, cropped, i, ","chance, jacket, today, store, i, i, sight, issue, lbs, bit, taller, weather, i, ",
39,blouse,Tops,"usual, patterned, nice, nice, ","xs, style, person, vibrant, teh, cut, definition, waist, i, lace, neck, bit, volume, something, i, fitter, shirter, flutter, lbs, reference, ",
